Configuration,Heuristic,Solved,Solution Depth,Nodes Expanded,Max Fringe Size,Branching Factor
"[1, 2, 3, 4, 6, 0, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]",h3      ,Solved ,             6,             7,              17,           1.476
"[1, 2, 3, 4, 6, 0, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]",h4      ,Solved ,             6,             7,              17,           1.476
"[1, 2, 3, 4, 6, 0, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]",h5      ,Solved ,             6,             7,              17,           1.476
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]",h1      ,Solved ,             6,             7,              17,           1.476
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]",h2      ,Solved ,             6,             7,              17,           1.476
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]",h3      ,Solved ,             6,             7,              17,           1.476
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]",h4      ,Solved ,             6,             7,              17,           1.476
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]",h5      ,Solved ,             6,             7,              17,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 15, 13, 0, 12, 11]",h1      ,Solved ,             8,            26,              55,           1.593
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 15, 13, 0, 12, 11]",h2      ,Solved ,             8,            14,              29,           1.458
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 15, 13, 0, 12, 11]",h3      ,Solved ,             8,            14,              29,           1.458
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 15, 13, 0, 12, 11]",h4      ,Solved ,             8,            14,              29,           1.458
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 15, 13, 0, 12, 11]",h5      ,Solved ,             8,             9,              20,           1.369
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h1      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h2      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h3      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h4      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h5      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h1      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h2      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h3      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h4      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h5      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h1      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h2      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h3      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h4      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h5      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 15, 13, 14, 12, 11]",h1      ,Solved ,             6,            16,              34,           1.741
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 15, 13, 14, 12, 11]",h2      ,Solved ,             6,            12,              24,           1.644
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 15, 13, 14, 12, 11]",h3      ,Solved ,             6,            12,              24,           1.644
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 15, 13, 14, 12, 11]",h4      ,Solved ,             6,            12,              24,           1.644
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 15, 13, 14, 12, 11]",h5      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",h1      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",h2      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",h3      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",h4      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 14, 0, 15, 12]",h5      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h1      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h2      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h3      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h4      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h5      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 0, 8, 13, 14, 15, 12]",h1      ,Solved ,             6,             7,              18,           1.476
"[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 0, 8, 13, 14, 15, 12]",h2      ,Solved ,             6,             7,              18,           1.476
"[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 0, 8, 13, 14, 15, 12]",h3      ,Solved ,             6,             7,              18,           1.476
"[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 0, 8, 13, 14, 15, 12]",h4      ,Solved ,             6,             7,              18,           1.476
"[1, 2, 3, 4, 5, 10, 6, 7, 9, 11, 0, 8, 13, 14, 15, 12]",h5      ,Solved ,             6,             7,              18,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",h1      ,Solved ,             2,             3,               7,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",h2      ,Solved ,             2,             3,               7,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",h3      ,Solved ,             2,             3,               7,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",h4      ,Solved ,             2,             3,               7,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",h5      ,Solved ,             2,             3,               7,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h1      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h2      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h3      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h4      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",h5      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",h1      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",h2      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",h3      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",h4      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 12, 8, 13, 14, 11, 15]",h5      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]",h1      ,Solved ,             8,            22,              46,           1.555
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]",h2      ,Solved ,             8,            14,              29,           1.458
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]",h3      ,Solved ,             8,            14,              29,           1.458
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]",h4      ,Solved ,             8,            14,              29,           1.458
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]",h5      ,Solved ,             8,             9,              20,           1.369
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",h1      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",h2      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",h3      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",h4      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15]",h5      ,Solved ,             2,             3,               6,             3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h1      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h2      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h3      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h4      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",h5      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",h1      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",h2      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",h3      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",h4      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",h5      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 7, 3, 9, 5, 6, 4, 10, 11, 0, 8, 13, 14, 15, 12]",h1      ,Solved ,            10,            11,              25,           1.305
"[1, 2, 7, 3, 9, 5, 6, 4, 10, 11, 0, 8, 13, 14, 15, 12]",h2      ,Solved ,            10,            11,              25,           1.305
"[1, 2, 7, 3, 9, 5, 6, 4, 10, 11, 0, 8, 13, 14, 15, 12]",h3      ,Solved ,            10,            11,              25,           1.305
"[1, 2, 7, 3, 9, 5, 6, 4, 10, 11, 0, 8, 13, 14, 15, 12]",h4      ,Solved ,            10,            11,              25,           1.305
"[1, 2, 7, 3, 9, 5, 6, 4, 10, 11, 0, 8, 13, 14, 15, 12]",h5      ,Solved ,            10,            11,              25,           1.305
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 14, 10, 11, 9, 13, 15, 12]",h1      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 14, 10, 11, 9, 13, 15, 12]",h2      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 14, 10, 11, 9, 13, 15, 12]",h3      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 14, 10, 11, 9, 13, 15, 12]",h4      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 14, 10, 11, 9, 13, 15, 12]",h5      ,Solved ,             6,             7,              15,           1.476
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 11, 9, 0, 14, 12]",h1      ,Solved ,             8,            18,              35,           1.511
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 11, 9, 0, 14, 12]",h2      ,Solved ,             8,            13,              27,           1.443
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 11, 9, 0, 14, 12]",h3      ,Solved ,             8,            13,              27,           1.443
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 11, 9, 0, 14, 12]",h4      ,Solved ,             8,            13,              27,           1.443
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 11, 9, 0, 14, 12]",h5      ,Solved ,             8,             9,              19,           1.369
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",h1      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",h2      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",h3      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",h4      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",h5      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",h1      ,Solved ,             4,             5,              13,            1.71
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",h2      ,Solved ,             4,             5,              13,            1.71
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",h3      ,Solved ,             4,             5,              13,            1.71
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",h4      ,Solved ,             4,             5,              13,            1.71
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",h5      ,Solved ,             4,             5,              13,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h1      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h2      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h3      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h4      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h5      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",h1      ,Solved ,             4,             5,              12,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",h2      ,Solved ,             4,             5,              12,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",h3      ,Solved ,             4,             5,              12,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",h4      ,Solved ,             4,             5,              12,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 12, 13, 14, 11, 15]",h5      ,Solved ,             4,             5,              12,            1.71
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",h1      ,Solved ,             6,            11,              23,           1.615
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",h2      ,Solved ,             6,             7,              14,           1.476
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",h3      ,Solved ,             6,             7,              14,           1.476
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",h4      ,Solved ,             6,             7,              14,           1.476
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 15, 8, 13, 14, 12, 11]",h5      ,Solved ,             6,             7,              14,           1.476
"[2, 3, 0, 4, 1, 6, 7, 8, 5, 9, 11, 12, 13, 10, 14, 15]",h1      ,Solved ,             8,             9,              18,           1.369
"[2, 3, 0, 4, 1, 6, 7, 8, 5, 9, 11, 12, 13, 10, 14, 15]",h2      ,Solved ,             8,             9,              18,           1.369
"[2, 3, 0, 4, 1, 6, 7, 8, 5, 9, 11, 12, 13, 10, 14, 15]",h3      ,Solved ,             8,             9,              18,           1.369
"[2, 3, 0, 4, 1, 6, 7, 8, 5, 9, 11, 12, 13, 10, 14, 15]",h4      ,Solved ,             8,             9,              18,           1.369
"[2, 3, 0, 4, 1, 6, 7, 8, 5, 9, 11, 12, 13, 10, 14, 15]",h5      ,Solved ,             8,             9,              18,           1.369
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h1      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h2      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h3      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h4      ,Solved ,             4,             5,              11,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15]",h5      ,Solved ,             4,             5,              11,            1.71
"[1, 6, 2, 3, 5, 7, 11, 4, 9, 10, 0, 8, 13, 14, 15, 12]",h1      ,Solved ,             8,             9,              20,           1.369
"[1, 6, 2, 3, 5, 7, 11, 4, 9, 10, 0, 8, 13, 14, 15, 12]",h2      ,Solved ,             8,             9,              20,           1.369
"[1, 6, 2, 3, 5, 7, 11, 4, 9, 10, 0, 8, 13, 14, 15, 12]",h3      ,Solved ,             8,             9,              20,           1.369
"[1, 6, 2, 3, 5, 7, 11, 4, 9, 10, 0, 8, 13, 14, 15, 12]",h4      ,Solved ,             8,             9,              20,           1.369
"[1, 6, 2, 3, 5, 7, 11, 4, 9, 10, 0, 8, 13, 14, 15, 12]",h5      ,Solved ,             8,             9,              20,           1.369
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h1      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h2      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h3      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h4      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",h5      ,Solved ,             4,             5,               9,            1.71
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 0, 15, 13, 10, 14, 11]",h1      ,Solved ,             8,            26,              56,           1.593
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 0, 15, 13, 10, 14, 11]",h2      ,Solved ,             8,            11,              23,           1.409
